1485307800000,0.12
1485313200000,0.31
1485318600000,0.25
1485324000000,0.24
1485329400000,0.14
1485334800000,0.27
1485340200000,0.24
1485345600000,0.32
1485351000000,0.17
1485356400000,0.2
1485361800000,0.45
1485367200000,0.55
1485372600000,0.16
1485378000000,0.14
1485383400000,0.21
1485388800000,0.17
1485394200000,0.26
1485399600000,0.25
1485405000000,0.21
1485410400000,0.29
1485415800000,0.14
1485421200000,0.08
1485426600000,1.07
1485432000000,0.5
1485437400000,0.29
1485442800000,0.14
1485448200000,0.6
1485453600000,0.18
1485459000000,0.2
1485464400000,0.17
1485469800000,0.21
1485475200000,0.25
1485480600000,0.21
1485486000000,0.21
1485491400000,0.34
1485496800000,0.21
1485502200000,0.17
1485507600000,0.17
1485513000000,0.31
1485518400000,0.25
1485523800000,0.13
1485529200000,0.25
1485534600000,0.29
1485540000000,0.72
1485545400000,0.36
1485550800000,0.34
1485556200000,0.26
1485561600000,0.22
1485567000000,0.11
1485572400000,0.18
1485577800000,0.45
1485583200000,0.19
1485588600000,0.23
1485594000000,0.23
1485599400000,0.36
1485604800000,0.48
1485610200000,0.19
1485615600000,0.13
1485621000000,0.18
1485626400000,0.51
1485631800000,0.44
1485637200000,0.15
1485642600000,0.15
1485648000000,0.26
1485653400000,0.26
1485658800000,0.28
1485664200000,0.32
1485669600000,0.21
1485675000000,0.53
1485680400000,0.44
1485685800000,0.24
1485691200000,0.15
1485696600000,0.17
1485702000000,0.22
1485707400000,0.52
1485712800000,0.5
1485718200000,0.16
1485723600000,0.24
1485729000000,0.43
1485734400000,0.26
1485739800000,0.25
1485745200000,0.1
1485750600000,0.31
1485756000000,0.33
1485761400000,0.17
1485766800000,0.22
1485772200000,0.45
1485777600000,0.27
1485783000000,0.21
1485788400000,0.24
1485793800000,0.24
1485799200000,0.24
1485804600000,0.18
1485810000000,0.12
1485815400000,0.42
1485820800000,0.23
1485826200000,0.29
1485831600000,0.25
1485837000000,0.14
1485842400000,0.3
1485847800000,0.21
1485853200000,0.52
1485858600000,0.62
1485864000000,0.32
1485869400000,0.14
1485874800000,0.3
1485880200000,0.27
1485885600000,1.13
1485891000000,0.16
1485896400000,0.5
1485901800000,0.47
1485907200000,0.08
1485912600000,0.15
1485918000000,0.08
1485923400000,0.42
1485928800000,0.22
1485934200000,0.21
1485939600000,0.15
1485945000000,0.37
1485950400000,0.3
1485955800000,0.36
1485961200000,0.22
1485966600000,0.28
1485972000000,0.36
1485977400000,0.17
1485982800000,0.24
1485988200000,0.72
1485993600000,0.23
1485999000000,0.29
1486004400000,0.28
1486009800000,0.19
1486015200000,0.27
1486020600000,0.2
1486026000000,0.25
1486031400000,0.35
1486036800000,1.23
1486042200000,0.16
1486047600000,0.18
1486053000000,0.46
1486058400000,0.54
1486063800000,0.3
1486069200000,0.13
1486074600000,0.25
1486080000000,0.29
1486085400000,0.44
1486090800000,0.29
1486096200000,0.16
1486101600000,0.15
1486107000000,0.12
1486112400000,0.25
1486117800000,0.49
1486123200000,0.23
1486128600000,0.5
1486134000000,0.29
1486139400000,0.37
1486144800000,0.38
1486150200000,0.28
1486155600000,0.45
1486161000000,0.22
1486166400000,0.16
1486171800000,0.25
1486177200000,0.14
1486182600000,0.15
1486188000000,0.15
1486193400000,0.53
1486198800000,0.16
1486204200000,0.44
1486209600000,0.21
1486215000000,0.25
1486220400000,0.41
1486225800000,0.35
1486231200000,0.52
1486236600000,0.52
1486242000000,0.12
1486247400000,0.18
1486252800000,0.25
1486258200000,0.34
1486263600000,0.19
1486269000000,0.24
1486274400000,0.44
1486279800000,0.25
1486285200000,0.13
1486290600000,0.29
1486296000000,0.08
1486301400000,0.11
1486306800000,0.12
1486312200000,0.16
1486317600000,0.31
1486323000000,0.33
1486328400000,1.48
